feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
0.11376810733677833,0.9300644959959979,0.3305276560408652,0.010987071713298047,0.26570311117269996,0.6994620534082203,0.05846506727870959,0.4316432676997688,0.6509575504123802,0.7518201617636567,30.147094453221605
0.3800480404581227,0.4859458321631913,0.8702324584301544,0.4734006111270771,0.4545157891250162,0.5008638770360359,0.47172281194028787,0.23432914548105122,0.07298150281696514,0.008371732819057898,21.424402472105374
0.7684619261415074,0.21770642641785898,0.7274384854178736,0.7183767043820898,0.4521552886220016,0.4346383118431384,0.04398859794507615,0.9724885573131746,0.45013293495970286,0.3781570740210196,31.422056204603614
0.6066368307226881,0.6043347220018985,0.540331882785214,0.4912359604493133,0.3256316277984087,0.20634824944671026,0.825766946666711,0.3324751340240929,0.9555175050694981,0.16281100845818564,31.308587768325857
0.1197697808310566,0.46971813112114846,0.6328285270168277,0.5042073927301902,0.2382588481322092,0.45245689526252497,0.7753603853121231,0.17426151573399318,0.11762126646806337,0.2188831088632871,23.322751155890156
0.7094405611801555,0.6363558603506605,0.926316639995064,0.6711369169853288,0.236672783964043,0.8019941813719592,0.8091558201904596,0.3078241498538493,0.0909398486863976,0.7857889991777645,34.6171684866863
0.35107078458159535,0.9734278369411596,0.6471346722160359,0.16974490486876803,0.9783049604936237,0.3177414924656,0.22535624218761874,0.12592063692068922,0.6029652993283992,0.9747893451480549,33.848880826670914
0.40792293334751906,0.6837377054385178,0.20915828528241487,0.41131800738929236,0.08417757786788216,0.9817506562293291,0.9616094888360635,0.15151570249112378,0.4177380071570165,0.3347839014488466,29.783567215734514
0.9091093884629504,0.7936197789571381,0.4334539867988152,0.7356626464024469,0.7308366917648039,0.703209018985188,0.18575759659605018,0.4581514724152249,0.08314975237511557,0.27920411933099587,27.49186002400587
0.8977329782027593,0.7960273616233945,0.48656105954950957,0.3054745464465274,0.44996040192946063,0.15552618558600484,0.8918991719079854,0.10543604880205404,0.36902735221361327,0.6779487194461499,29.91500118591098
0.11452327408515661,0.20959099377807977,0.8214894557454289,0.5177609828380738,0.7973048681462613,0.33539116975526106,0.4965553427976054,0.8144499153870701,0.047250558975771906,0.42470762976456977,30.105064009307327
0.40344442641519795,0.6249664469968877,0.009778694442886815,0.5390013965896729,0.6212357147689117,0.2678015743596698,0.5597571958530614,0.7102745594656257,0.2220505392265083,0.36463366921249685,28.170152440665994
0.7030641540275426,0.8013501657107702,0.1518603098845377,0.5551153584376284,0.06394321317163965,0.49042898150286063,0.769199400740113,0.9342174362694258,0.1917799641926291,0.8890121411119846,36.09153022662539
