post_id,time,age,os
7159,2022-01-26 23:59:54,17,Android
7159,2022-01-26 23:59:42,17,Android
7168,2022-01-26 23:59:32,17,Android
7272,2022-01-26 23:58:39,17,Android
7187,2022-01-26 23:58:14,17,Android
7193,2022-01-26 23:58:04,17,Android
7136,2022-01-26 23:57:42,17,Android
7277,2022-01-26 23:57:33,17,Android
7296,2022-01-26 23:57:08,17,Android
7170,2022-01-26 23:57:05,17,Android
7251,2022-01-26 23:56:55,17,Android
7268,2022-01-26 23:56:53,17,Android
7192,2022-01-26 23:56:53,17,Android
7184,2022-01-26 23:56:30,17,Android
7265,2022-01-26 23:56:03,17,Android
7172,2022-01-26 23:55:53,17,Android
7256,2022-01-26 23:55:24,17,Android
7315,2022-01-26 23:55:22,17,Android
7080,2022-01-26 23:55:12,17,Android
6956,2022-01-26 23:55:11,17,Android
7127,2022-01-26 23:55:09,17,Android
7286,2022-01-26 23:55:07,17,Android
7244,2022-01-26 23:54:45,22,Android
7256,2022-01-26 23:54:45,17,Android
7184,2022-01-26 23:54:44,17,Android
7202,2022-01-26 23:54:41,20,iOS
7276,2022-01-26 23:54:39,20,iOS
7003,2022-01-26 23:54:38,20,iOS
7163,2022-01-26 23:54:36,20,iOS
7174,2022-01-26 23:54:29,20,iOS
7315,2022-01-26 23:54:28,20,iOS
7264,2022-01-26 23:54:21,20,iOS
7280,2022-01-26 23:54:19,22,Android
7080,2022-01-26 23:54:19,17,Android
7265,2022-01-26 23:54:11,17,Android
7288,2022-01-26 23:54:06,22,Android
7268,2022-01-26 23:54:04,22,Android
7294,2022-01-26 23:53:56,22,Android
7163,2022-01-26 23:53:32,20,iOS
7174,2022-01-26 23:53:26,20,iOS
7280,2022-01-26 23:53:23,22,Android
7300,2022-01-26 23:53:20,22,Android
7184,2022-01-26 23:53:07,22,Android
7264,2022-01-26 23:53:06,22,Android
7315,2022-01-26 23:53:06,20,iOS
6943,2022-01-26 23:53:01,22,Android
7249,2022-01-26 23:53:01,22,Android
7303,2022-01-26 23:52:58,20,iOS
7312,2022-01-26 23:52:38,22,Android
7317,2022-01-26 23:52:35,22,Android
7277,2022-01-26 23:52:33,20,iOS
6943,2022-01-26 23:52:29,20,iOS
7242,2022-01-26 23:52:01,20,iOS
7087,2022-01-26 23:51:53,20,iOS
7242,2022-01-26 23:51:50,20,iOS
7164,2022-01-26 23:51:45,20,iOS
7192,2022-01-26 23:51:36,22,Android
7318,2022-01-26 23:51:18,20,iOS
7299,2022-01-26 23:51:03,22,Android
7085,2022-01-26 23:51:02,20,iOS
7014,2022-01-26 23:50:58,22,Android
7251,2022-01-26 23:50:50,22,Android
7185,2022-01-26 23:50:44,20,iOS
7184,2022-01-26 23:50:42,20,iOS
7256,2022-01-26 23:50:42,20,iOS
6943,2022-01-26 23:50:37,20,iOS
7265,2022-01-26 23:50:35,22,Android
7206,2022-01-26 23:50:30,20,iOS
7184,2022-01-26 23:50:28,20,iOS
7283,2022-01-26 23:50:21,22,Android
7288,2022-01-26 23:50:18,20,iOS
7192,2022-01-26 23:50:09,22,Android
7168,2022-01-26 23:50:07,22,Android
7260,2022-01-26 23:50:00,20,iOS
6992,2022-01-26 23:49:55,36,iOS
7251,2022-01-26 23:49:47,22,Android
7168,2022-01-26 23:49:34,36,iOS
7268,2022-01-26 23:49:31,41,iOS
7140,2022-01-26 23:49:25,36,iOS
7254,2022-01-26 23:49:03,41,iOS
7213,2022-01-26 23:49:01,41,iOS
7257,2022-01-26 23:49:00,36,iOS
7299,2022-01-26 23:49:00,36,iOS
7137,2022-01-26 23:48:48,41,iOS
7173,2022-01-26 23:48:48,41,iOS
7256,2022-01-26 23:48:45,36,iOS
7305,2022-01-26 23:48:44,36,iOS
7003,2022-01-26 23:48:40,36,iOS
7175,2022-01-26 23:48:39,36,iOS
7168,2022-01-26 23:48:28,22,Android
7213,2022-01-26 23:48:23,41,iOS
7294,2022-01-26 23:48:20,41,iOS
7300,2022-01-26 23:48:19,36,iOS
7272,2022-01-26 23:48:17,36,iOS
7257,2022-01-26 23:48:16,36,iOS
7174,2022-01-26 23:48:12,36,iOS
7059,2022-01-26 23:48:03,41,iOS
7208,2022-01-26 23:48:01,41,iOS
7303,2022-01-26 23:47:56,36,iOS
7137,2022-01-26 23:47:48,41,iOS
