post_id,time,age,os
7097,2022-01-26 23:59:58,32,iOS
7282,2022-01-26 23:59:58,25,iOS
7251,2022-01-26 23:59:58,19,Android
7300,2022-01-26 23:59:58,31,iOS
7283,2022-01-26 23:59:58,19,Android
7283,2022-01-26 23:59:58,17,Android
7265,2022-01-26 23:59:58,30,Android
7059,2022-01-26 23:59:58,23,Android
7306,2022-01-26 23:59:58,19,Android
7175,2022-01-26 23:59:58,55,Android
7184,2022-01-26 23:59:58,29,Android
7257,2022-01-26 23:59:57,27,Android
7268,2022-01-26 23:59:57,37,Android
7299,2022-01-26 23:59:57,47,Android
7222,2022-01-26 23:59:57,29,Android
7218,2022-01-26 23:59:57,16,iOS
7192,2022-01-26 23:59:57,20,Android
7284,2022-01-26 23:59:57,16,iOS
7276,2022-01-26 23:59:56,37,iOS
7299,2022-01-26 23:59:56,19,Android
7272,2022-01-26 23:59:56,20,Android
7140,2022-01-26 23:59:56,29,Android
7282,2022-01-26 23:59:56,46,Android
7315,2022-01-26 23:59:56,44,Android
7264,2022-01-26 23:59:56,20,Android
7077,2022-01-26 23:59:55,20,Android
7170,2022-01-26 23:59:55,16,iOS
7067,2022-01-26 23:59:55,17,Android
7162,2022-01-26 23:59:55,33,Android
6956,2022-01-26 23:59:55,27,Android
7288,2022-01-26 23:59:55,20,iOS
7317,2022-01-26 23:59:55,25,Android
7175,2022-01-26 23:59:55,39,iOS
7276,2022-01-26 23:59:55,16,iOS
7283,2022-01-26 23:59:55,22,Android
7159,2022-01-26 23:59:54,17,Android
7274,2022-01-26 23:59:54,23,Android
7097,2022-01-26 23:59:54,29,Android
7184,2022-01-26 23:59:54,28,Android
7276,2022-01-26 23:59:54,19,Android
7299,2022-01-26 23:59:54,44,Android
7251,2022-01-26 23:59:54,22,Android
7217,2022-01-26 23:59:54,16,Android
7260,2022-01-26 23:59:54,21,Android
7255,2022-01-26 23:59:54,25,iOS
7296,2022-01-26 23:59:54,26,Android
7251,2022-01-26 23:59:54,17,Android
7191,2022-01-26 23:59:54,46,Android
7283,2022-01-26 23:59:54,40,iOS
7312,2022-01-26 23:59:53,26,Android
7277,2022-01-26 23:59:53,30,Android
7244,2022-01-26 23:59:53,39,Android
7310,2022-01-26 23:59:53,20,Android
7172,2022-01-26 23:59:53,17,Android
7255,2022-01-26 23:59:53,22,iOS
7211,2022-01-26 23:59:53,22,Android
7192,2022-01-26 23:59:52,21,Android
7282,2022-01-26 23:59:52,24,Android
7319,2022-01-26 23:59:52,37,Android
7267,2022-01-26 23:59:52,31,Android
7296,2022-01-26 23:59:52,30,iOS
7185,2022-01-26 23:59:52,42,iOS
6957,2022-01-26 23:59:52,16,iOS
7272,2022-01-26 23:59:52,22,Android
7180,2022-01-26 23:59:52,23,Android
7170,2022-01-26 23:59:52,19,iOS
7232,2022-01-26 23:59:52,22,iOS
7242,2022-01-26 23:59:51,16,Android
7259,2022-01-26 23:59:51,25,Android
7277,2022-01-26 23:59:51,17,iOS
7045,2022-01-26 23:59:51,35,Android
7080,2022-01-26 23:59:51,53,iOS
7175,2022-01-26 23:59:51,38,Android
7306,2022-01-26 23:59:51,29,iOS
7283,2022-01-26 23:59:51,36,Android
7317,2022-01-26 23:59:50,37,iOS
7218,2022-01-26 23:59:50,23,Android
7089,2022-01-26 23:59:50,43,Android
7268,2022-01-26 23:59:50,35,iOS
7003,2022-01-26 23:59:50,36,Android
7283,2022-01-26 23:59:49,17,iOS
7242,2022-01-26 23:59:49,39,Android
7277,2022-01-26 23:59:49,40,Android
7284,2022-01-26 23:59:49,38,Android
7218,2022-01-26 23:59:49,17,Android
6943,2022-01-26 23:59:49,22,Android
7254,2022-01-26 23:59:49,19,Android
7242,2022-01-26 23:59:49,23,iOS
7003,2022-01-26 23:59:49,24,iOS
7157,2022-01-26 23:59:49,20,Android
7202,2022-01-26 23:59:49,44,Android
7188,2022-01-26 23:59:49,16,Android
7204,2022-01-26 23:59:49,23,Android
7180,2022-01-26 23:59:49,19,Android
7097,2022-01-26 23:59:49,44,Android
7315,2022-01-26 23:59:49,37,iOS
7097,2022-01-26 23:59:49,20,Android
7286,2022-01-26 23:59:48,24,Android
7003,2022-01-26 23:59:48,48,Android
7289,2022-01-26 23:59:48,16,iOS
